Product ID;Product Category;Seasonal;terms;section;season;material;origin
185102;clothing;Yes;jackets;MAN;Winter;Polyester;Brazil
188771;clothing;No;jackets;MAN;Autumn;Cotton;Turkey
180176;clothing;Yes;jackets;WOMAN;Autumn;Polyester;Morocco
112917;clothing;No;jackets;MAN;Spring;Polyester;China
192936;clothing;Yes;jackets;WOMAN;Winter;Wool Blend;China
117590;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Turkey
189118;clothing;No;jackets;MAN;Winter;Acrylic;China
182157;clothing;Yes;jackets;WOMAN;Summer;Cotton;Portugal
141861;clothing;Yes;jackets;WOMAN;Winter;Wool;India
137121;clothing;No;jackets;MAN;Autumn;Wool Blend;China
113143;clothing;Yes;jackets;WOMAN;Winter;Wool;China
140028;clothing;No;jackets;WOMAN;Autumn;Polyester;Portugal
134693;clothing;Yes;jackets;MAN;Autumn;Cotton;Portugal
151396;clothing;No;jackets;WOMAN;Autumn;Viscose;Bangladesh
132889;clothing;Yes;jackets;WOMAN;Spring;Polyester;China
152174;clothing;Yes;jackets;WOMAN;Spring;Wool Blend;India
129906;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Portugal
195879;clothing;Yes;jackets;WOMAN;Autumn;Cotton;India
155050;clothing;Yes;jackets;MAN;Winter;Polyester;Morocco
194410;clothing;No;jackets;WOMAN;Spring;Linen;Bangladesh
141904;clothing;No;jackets;WOMAN;Spring;Denim;China
124981;clothing;Yes;jackets;WOMAN;Autumn;Denim;Bangladesh
161909;clothing;No;jackets;WOMAN;Spring;Wool Blend;Vietnam
129152;clothing;Yes;jackets;MAN;Autumn;Wool Blend;Spain
183243;clothing;No;jackets;WOMAN;Autumn;Polyester;Brazil
198248;clothing;No;jackets;MAN;Autumn;Polyester;India
191230;clothing;No;jackets;WOMAN;Autumn;Cotton;Cambodia
187234;clothing;Yes;jackets;WOMAN;Spring;Cotton;India
148888;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Bangladesh
110805;clothing;Yes;jackets;MAN;Autumn;Viscose;China
179801;clothing;Yes;jackets;MAN;Autumn;Cotton;China
134927;clothing;Yes;jackets;WOMAN;Winter;Viscose;Bangladesh
123150;clothing;Yes;jackets;MAN;Autumn;Polyester;Spain
159145;clothing;Yes;jackets;WOMAN;Winter;Wool;Turkey
172364;clothing;Yes;jackets;WOMAN;Autumn;Viscose;India
178281;clothing;No;jackets;WOMAN;Spring;Polyester;Vietnam
194339;clothing;No;jackets;WOMAN;Autumn;Viscose;Cambodia
174412;clothing;No;jackets;WOMAN;Spring;Viscose;Spain
114877;clothing;Yes;jackets;WOMAN;Spring;Polyester;Vietnam
140727;clothing;No;jackets;WOMAN;Winter;Viscose;Bangladesh
133109;clothing;Yes;jackets;WOMAN;Spring;Cotton;Bangladesh
127296;clothing;No;jackets;MAN;Spring;Cotton;China
133757;clothing;Yes;jackets;WOMAN;Autumn;Wool;Spain
111760;clothing;No;jackets;MAN;Spring;Wool Blend;Argentina
