Product ID;Product Position;Promotion;Sales Volume;Product Position
185102;Aisle;Yes;1243;Aisle
188771;Aisle;Yes;1429;Aisle
180176;End-cap;Yes;1168;End-cap
112917;Aisle;Yes;1348;Aisle
192936;End-cap;Yes;1602;End-cap
117590;End-cap;Yes;1282;End-cap
189118;Front of Store;No;688;Front of Store
182157;Aisle;Yes;1711;Aisle
141861;Aisle;No;857;Aisle
137121;Aisle;No;769;Aisle
113143;Aisle;Yes;1696;Aisle
140028;Aisle;Yes;1538;Aisle
134693;Aisle;No;822;Aisle
151396;Front of Store;No;840;Front of Store
132889;Aisle;Yes;1569;Aisle
152174;End-cap;No;952;End-cap
129906;Aisle;No;915;Aisle
195879;Front of Store;Yes;1522;Front of Store
155050;Aisle;Yes;1305;Aisle
194410;End-cap;No;840;End-cap
141904;End-cap;No;997;End-cap
124981;Front of Store;No;857;Front of Store
161909;Aisle;No;982;Aisle
129152;End-cap;No;970;End-cap
183243;Front of Store;Yes;1453;Front of Store
198248;Front of Store;No;870;Front of Store
191230;End-cap;Yes;1533;End-cap
187234;Front of Store;No;807;Front of Store
148888;Front of Store;Yes;1604;Front of Store
110805;Front of Store;Yes;1255;Front of Store
179801;Front of Store;Yes;1268;Front of Store
134927;Aisle;No;1047;Aisle
123150;End-cap;No;744;End-cap
159145;End-cap;Yes;1744;End-cap
172364;Aisle;Yes;1447;Aisle
178281;End-cap;No;911;End-cap
194339;End-cap;Yes;1575;End-cap
174412;Aisle;Yes;1440;Aisle
114877;Aisle;No;942;Aisle
140727;End-cap;No;972;End-cap
133109;Front of Store;No;860;Front of Store
127296;Aisle;No;709;Aisle
133757;Aisle;No;663;Aisle
111760;End-cap;No;876;End-cap
198375;End-cap;Yes;1284;End-cap
168837;Aisle;No;871;Aisle
138505;Front of Store;Yes;1330;Front of Store
116228;End-cap;No;880;End-cap
167592;Front of Store;No;815;Front of Store
133100;End-cap;No;851;End-cap
119955;Front of Store;No;749;Front of Store
189349;End-cap;Yes;1211;End-cap
127478;Front of Store;No;899;Front of Store
180661;Front of Store;No;908;Front of Store
186681;End-cap;No;895;End-cap
133183;Front of Store;No;785;Front of Store
173508;Aisle;No;735;Aisle
187930;End-cap;No;980;End-cap
124088;End-cap;No;964;End-cap
190238;Front of Store;No;826;Front of Store
151925;End-cap;No;845;End-cap
163234;Front of Store;No;923;Front of Store
135610;Aisle;Yes;1297;Aisle
117065;Aisle;No;919;Aisle
149315;End-cap;No;896;End-cap
149510;Aisle;No;815;Aisle
137990;Aisle;Yes;1226;Aisle
154016;End-cap;No;1012;End-cap
117751;Aisle;No;784;Aisle
182362;Front of Store;No;723;Front of Store
117725;Aisle;Yes;1323;Aisle
145289;End-cap;Yes;1457;End-cap
173576;End-cap;No;789;End-cap
175059;Aisle;No;891;Aisle
199368;Front of Store;No;936;Front of Store
162883;Front of Store;Yes;1429;Front of Store
135490;Front of Store;No;797;Front of Store
125408;End-cap;Yes;1448;End-cap
134763;Front of Store;No;1050;Front of Store
143231;Aisle;No;920;Aisle
125409;End-cap;No;687;End-cap
183074;Aisle;Yes;1407;Aisle
147947;Aisle;No;890;Aisle
174171;Front of Store;Yes;1395;Front of Store
183064;Front of Store;Yes;1289;Front of Store
177131;Aisle;No;739;Aisle
128179;End-cap;Yes;1302;End-cap
152723;Aisle;Yes;1530;Aisle
123824;Aisle;No;962;Aisle
166345;Aisle;Yes;1079;Aisle
199279;Aisle;No;903;Aisle
167981;End-cap;No;925;End-cap
146839;Aisle;No;1068;Aisle
187180;Front of Store;No;708;Front of Store
167640;End-cap;Yes;1620;End-cap
165158;Front of Store;No;1014;Front of Store
111521;Front of Store;Yes;1275;Front of Store
120228;End-cap;Yes;1177;End-cap
133078;Aisle;Yes;1827;Aisle
137598;Aisle;Yes;1232;Aisle
138779;Front of Store;Yes;1077;Front of Store
198329;Front of Store;Yes;1848;Front of Store
110295;End-cap;Yes;1312;End-cap
196427;Aisle;Yes;1432;Aisle
110075;Front of Store;No;864;Front of Store
132322;Front of Store;Yes;1433;Front of Store
199631;Front of Store;No;973;Front of Store
182306;Front of Store;No;980;Front of Store
194915;Aisle;Yes;1495;Aisle
131298;End-cap;Yes;1590;End-cap
168571;Aisle;Yes;1529;Aisle
154224;End-cap;Yes;1525;End-cap
171061;Aisle;Yes;1518;Aisle
